"Command","Description"
"afk","Set an AFK status to display when mentioned"
"avatar","Get a user's avatar"
"randomcolor","Generate a random hex color with preview"
"discrim","Show users with a certain discriminator"
"membercount","Get the server member count"
"remindme","Set a reminder"
"whois","Get user information"
"inviteinfo","Get information about an invite"
"roll","Roll the dice"
"flipcoin","Flip a coin"
"serverinfo","Get server info/stats"
"dynoavatar","Generate a Dyno-like avatar"
"distance","Get distance between two coordinate sets"
"color","Show a color using hex"
"emotes","Get a list of server emojis"
"covid","Get COVID-19 stats"
"highlights","Get notified when a specific phrase is said"